Age,Commit message (Expand),Author,Files,Lines
2022-05-23,Add defines for various newer FSCTLs,Steve French,1,-0/+6
2022-05-23,certs: Explain the rationale to call panic(),Mickaël Salaün,1,-0/+9
2022-05-23,certs: Allow root user to append signed hashes to the blacklist keyring,Mickaël Salaün,2,-21/+85
2022-05-23,certs: Check that builtin blacklist hashes are valid,Mickaël Salaün,5,-3/+57
2022-05-23,certs: Make blacklist_vet_description() more strict,Mickaël Salaün,1,-10/+36
2022-05-23,certs: Factor out the blacklist hash creation,Mickaël Salaün,4,-46/+73
2022-05-23,tools/certs: Add print-cert-tbs-hash.sh,Mickaël Salaün,2,-0/+92
2022-05-22,smb3: add trace point for oplock not found,Steve French,2,-0/+5
2022-05-21,smb3: add trace point for lease not found issue,Steve French,2,-0/+7
2022-05-19,video: fbdev: hyperv_fb: Allow resolutions with size > 64 MB for Gen1,Saurabh Sengar,1,-18/+1
2022-05-17,SMB3: EBADF/EIO errors in rename/open caused by race condition in smb2_compou...,Steve French,1,-2/+0
2022-05-17,swiotlb: max mapping size takes min align mask into account,Tianyu Lan,1,-1/+12
2022-05-13,PCI: hv: Fix synchronization between channel callback and hv_pci_bus_exit(),Andrea Parri (Microsoft),1,-7/+19
2022-05-13,PCI: hv: Add validation for untrusted Hyper-V values,Andrea Parri (Microsoft),1,-9/+24
2022-05-11,drm/hyperv: Remove support for Hyper-V 2008 and 2008R2/Win7,Michael Kelley,1,-16/+7
2022-05-11,video: hyperv_fb: Remove support for Hyper-V 2008 and 2008R2/Win7,Michael Kelley,1,-20/+3
2022-05-11,scsi: storvsc: Remove support for Hyper-V 2008 and 2008R2/Win7,Michael Kelley,1,-27/+9
2022-05-11,Drivers: hv: vmbus: Remove support for Hyper-V 2008 and Hyper-V 2008R2/Win7,Michael Kelley,4,-72/+33
2022-05-11,x86/hyperv: Disable hardlockup detector by default in Hyper-V guests,Michael Kelley,1,-0/+2
2022-05-04,arm64: dts: qcom: sm8350-duo2: enable battery charger,Katherine Perez,1,-0/+12
2022-05-03,drm/hyperv: Add error message for fb size greater than allocated,Saurabh Sengar,1,-1/+4
2022-05-03,PCI: hv: Do not set PCI_COMMAND_MEMORY to reduce VM boot time,Dexuan Cui,1,-6/+11
2022-04-28,Drivers: hv: vmbus: Refactor the ring-buffer iterator functions,Andrea Parri (Microsoft),2,-54/+13
2022-04-28,Drivers: hv: vmbus: Accept hv_sock offers in isolated guests,Andrea Parri (Microsoft),2,-4/+12
2022-04-28,hv_sock: Add validation for untrusted Hyper-V values,Andrea Parri (Microsoft),2,-2/+13
2022-04-28,hv_sock: Copy packets sent by Hyper-V out of the ring buffer,Andrea Parri (Microsoft),1,-2/+7
2022-04-28,hv_sock: Check hv_pkt_iter_first_raw()'s return value,Andrea Parri (Microsoft),1,-0/+2
2022-04-25,PCI: hv: Fix synchronization between channel callback and hv_compose_msi_msg(),Andrea Parri (Microsoft),1,-6/+27
2022-04-25,"Drivers: hv: vmbus: Introduce {lock,unlock}_requestor()",Andrea Parri (Microsoft),2,-6/+20
2022-04-25,Drivers: hv: vmbus: Introduce vmbus_request_addr_match(),Andrea Parri (Microsoft),2,-18/+52
2022-04-25,Drivers: hv: vmbus: Introduce vmbus_sendpacket_getid(),Andrea Parri (Microsoft),4,-10/+51
2022-04-25,PCI: hv: Use vmbus_requestor to generate transaction IDs for VMbus hardening,Andrea Parri (Microsoft),1,-10/+29
2022-04-25,Drivers: hv: vmbus: Fix handling of messages with transaction ID of zero,Andrea Parri (Microsoft),1,-2/+4
2022-04-25,Drivers: hv: vmbus: Add VMbus IMC device to unsupported list,Michael Kelley,2,-3/+10
2022-04-22,arm64: stacktrace: align with common naming,Madhavan T. Venkataraman,1,-2/+2
2022-04-22,arm64: stacktrace: rename stackframe to unwind_state,Madhavan T. Venkataraman,1,-34/+34
2022-04-22,arm64: stacktrace: rename unwinder functions,Madhavan T. Venkataraman,1,-17/+17
2022-04-22,arm64: stacktrace: remove NULL task check from unwind_frame(),Madhavan T. Venkataraman,1,-3/+0
2022-04-19,EDAC/dmc520: Don't print an error for each unconfigured interrupt line,Tyler Hicks,1,-1/+1
2022-04-18,csky: Add C based string functions,Matteo Croce,8,-356/+150
2022-04-11,hv_netvsc: Add support for XDP_REDIRECT,Haiyang Zhang,4,-94/+228
2022-04-08,cifs: release cached dentries only if mount is complete,Shyam Prasad N,1,-13/+15
2022-04-07,"hv_netvsc: Print value of invalid ID in netvsc_send_{completion,tx_complete}()",Andrea Parri (Microsoft),1,-4/+4
2022-04-06,Drivers: hv: vmbus: Replace smp_store_mb() with virt_store_mb(),Andrea Parri (Microsoft),1,-3/+3
2022-04-04,cifs: update internal module number,Steve French,1,-1/+1
2022-04-02,tracing/user_events: Remove eBPF interfaces,Beau Belgrave,3,-136/+4
2022-04-02,tracing/user_events: Hold event_mutex during dyn_event_add,Beau Belgrave,1,-2/+6
2022-03-31,"smb3: fix ksmbd bigendian bug in oplock break, and move its struct to smbfs_c...",Steve French,5,-191/+119
2022-03-30,ksmbd: shorten experimental warning on loading the module,Steve French,1,-1/+1
2022-03-29,Drivers: hv: vmbus: Prevent load re-ordering when reading ring buffer,Michael Kelley,1,-1/+10
2022-03-29,PCI: hv: Propagate coherence from VMbus device to PCI device,Michael Kelley,1,-0/+9
2022-03-29,Drivers: hv: vmbus: Propagate VMbus coherence to each VMbus device,Michael Kelley,3,-0/+43
2022-03-29,Drivers: hv: vmbus: Fix initialization of device object in vmbus_device_regis...,Andrea Parri (Microsoft),1,-3/+4
2022-03-29,Drivers: hv: vmbus: Deactivate sysctl_record_panic_msg by default in isolated...,Andrea Parri (Microsoft),1,-6/+12
2022-03-28,smb3: cleanup and clarify status of tree connections,Steve French,7,-33/+40
2022-03-26,smb3: move defines for query info and query fsinfo to smbfs_common,Steve French,5,-603/+335
2022-03-26,smb3: move defines for ioctl protocol header and SMB2 sizes to smbfs_common,Steve French,7,-143/+88
2022-03-25,[smb3] move more common protocol header definitions to smbfs_common,Steve French,5,-206/+112
2022-03-25,virt: vmgenid: recognize new CID added by Hyper-V,Michael Kelley,1,-0/+1
2022-03-18,cifs: use a different reconnect helper for non-cifsd threads,Shyam Prasad N,6,-7/+50
2022-03-18,Adjust cifssb maximum read size,Rohith Surabattula,2,-0/+13
2022-03-16,smb3: fix incorrect session setup check for multiuser mounts,Steve French,1,-1/+2
2022-03-15,user_events: Add trace event call as root for low permission cases,Beau Belgrave,1,-2/+37
2022-03-11,net: netvsc: remove break after return,Saurabh Sengar,1,-1/+0
2022-03-11,user_events: Prevent dyn_event delete racing with ioctl add/delete,Beau Belgrave,1,-6/+40
2022-03-10,user_events: Fix potential uninitialized pointer while parsing field,Beau Belgrave,1,-1/+3
